"id","title","band","model","variant","fuelType","bodytype","tramsmission","seating","year","milage","color","image","place","price"
"71867","2015 Toyota Avanza 1.5 Veloz MPV","Toyota","Avanza","Veloz","Pertamax","MPV","Automatic","7","2015","67500","Hitam","https://img1.icarcdn.com/8725555/thumb-l_used-car-mobil123-toyota-avanza-veloz-mpv-indonesia_8725555_JGpITNVQMAKZB0XKXf8vAk.jpeg?smia=xTM","Bekasi","150000000"
"61309","2015 Daihatsu Terios 1.5 R SUV","Daihatsu","Terios","R","Pertamax","SUV","Manual","7","2015","15000","Putih","https://img4.icarcdn.com/3360435/thumb-l_used-car-mobil123-daihatsu-terios-r-suv-indonesia_3360435_Hqu4LGrhTy21ydQcqUWUVs.jpg?smia=xTM","Bangkalan","170000000"
"11389","2014 Honda CR-V 2.4 2.4 SUV","Honda","CR-V","2.4","Pertamax","SUV","Automatic","5","2014","60000","Putih","https://img5.icarcdn.com/0035935/thumb-l_used-car-mobil123-honda-cr-v-2.4-suv-indonesia_0035935_bcYhfQDFVLsheJuF7EnlPd.jpg?smia=xTM","Gresik","270000000"
"36379","2018 Suzuki Ignis 1.2 GX Hatchback","Suzuki","Ignis","GX","Pertamax","Hatchback","Manual","5","2018","250","Merah","https://img2.icarcdn.com/0317046/thumb-l_used-car-mobil123-suzuki-ignis-gx-hatchback-indonesia_0317046_AFD3uzN9mkZijexHkZyV85.jpg?smia=xTM","Temanggung","122500000"
"56387","2017 Honda HR-V 1.5 E SUV","Honda","HR-V","E","Pertamax","SUV","Automatic","5","2017","12500","Silver","https://img1.icarcdn.com/0457945/thumb-l_used-car-mobil123-honda-hr-v-e-suv-indonesia_0457945_wio4DHptoHExpRrof6JVoA.jpg?smia=xTM","Makasar","259000000"
"36781","2018 Mitsubishi Xpander 1.5 ULTIMATE Wagon","Mitsubishi","Xpander","ULTIMATE","Pertamax","Wagon","Automatic","7","2018","23000","Silver","https://img3.icarcdn.com/1968526/thumb-l_used-car-mobil123-mitsubishi-xpander-ultimate-wagon-indonesia_1968526_EMfX01yMC20T9GVEBFOwtn.jpg?smia=xTM","Jakarta Utara","220000000"
"9735","2012 Nissan Evalia 1.5 XV MPV","Nissan","Evalia","XV","Pertamax","MPV","Manual","7","2012","88000","Putih","https://img1.icarcdn.com/4190256/thumb-l_used-car-mobil123-nissan-evalia-xv-mpv-indonesia_4190256_rlcQG6OfIlAaj4SHXFFDP5.jpg?smia=xTM","Sidoarjo","110000000"
"49284","2012 Daihatsu Xenia 1.3 R MPV","Daihatsu","Xenia","R","Pertamax","MPV","Manual","7","2012","60000","Silver","https://img5.icarcdn.com/5535615/thumb-l_used-car-mobil123-daihatsu-xenia-r-mpv-indonesia_5535615_IFAyk9uzsARx2FhxSJ3aXD.jpg?smia=xTM","Tangerang","115000000"
"3507","2016 Chevrolet Trax 1.4 LTZ SUV","Chevrolet","Trax","LTZ","Pertamax","SUV","Automatic","5","2016","31000","Hitam","https://img4.icarcdn.com/9482416/thumb-l_used-car-mobil123-chevrolet-trax-ltz-suv-indonesia_9482416_PWMJ8uo3ZspMOdpcab0ygF.jpg?smia=xTM","Surabaya","175000000"
"62832","2008 Suzuki Grand Vitara 2.0 JLX SUV","Suzuki","Grand Vitara","JLX","Pertamax","SUV","Automatic","5","2008","120000","Silver","https://img4.icarcdn.com/8918425/thumb-l_used-car-mobil123-suzuki-grand-vitara-jlx-suv-indonesia_8918425_Aj0rIeTVxgQOQKtgale2YV.jpg?smia=xTM","Surabaya","119000000"
"62687","2014 Daihatsu Terios 1.5 TX SUV","Daihatsu","Terios","TX","Pertamax","SUV","Manual","7","2014","46000","Silver","https://img3.icarcdn.com/9206435/thumb-l_used-car-mobil123-daihatsu-terios-tx-suv-indonesia_9206435_LJdjORvsmRIBOUthVaroB9.jpg?smia=xTM","Gresik","165000000"
"20900","2013 Nissan Evalia 1.5 SV MPV","Nissan","Evalia","SV","Pertamax","MPV","Manual","7","2013","7500","Hitam","https://img5.icarcdn.com/8370225/thumb-l_used-car-mobil123-nissan-evalia-sv-mpv-indonesia_8370225_W84wODoUJ12XDLTqwUmNCT.jpg?smia=xTM","Pontianak","110000000"
"29841","2014 Honda Mobilio 1.5 E MPV","Honda","Mobilio","E","Pertamax","MPV","Automatic","7","2014","96000","Putih","https://img4.icarcdn.com/3419006/thumb-l_used-car-mobil123-honda-mobilio-e-mpv-indonesia_3419006_H76cdKVxBD4WlqyxQf2RSu.jpg?smia=xTM","Bekasi","125000000"
"52232","2012 Toyota Limo 1.5 Manual Sedan","Toyota","Limo","Manual","Pertamax","Sedan","Manual","5","2012","252500","Putih","https://img4.icarcdn.com/3672615/thumb-l_used-car-mobil123-toyota-limo-manual-sedan-indonesia_3672615_ZKp9jfwYAHdxqeZqkRV2cz.jpg?smia=xTM","Jakarta Selatan","82500000"
"65772","1988 Honda Accord 2.0 Sedan","Honda","Accord",,"Pertamax","Sedan","Manual","5","1988","297500","Hijau","https://img4.icarcdn.com/2522515/thumb-l_used-car-mobil123-honda-accord-sedan-indonesia_2522515_I1eMltiEhBCgNXBRZN8yrS.jpg?smia=xTM","Cirebon","25000000"
"33006","2017 Honda Brio 1.2 RS Hatchback","Honda","Brio","RS","Pertamax","Hatchback","Manual","5","2017","27500","Abu-abu","https://img3.icarcdn.com/7743256/thumb-l_used-car-mobil123-honda-brio-rs-hatchback-indonesia_7743256_asaMLvKPku5I4pFQ3sdvk2.jpg?smia=xTM","Tangerang","128000000"
"3427","2017 Toyota Avanza 1.3 Veloz MPV","Toyota","Avanza","Veloz","Pertamax","MPV","Automatic","7","2017","37500","Hitam","https://img1.icarcdn.com/7201856/thumb-l_used-car-mobil123-toyota-avanza-veloz-mpv-indonesia_7201856_7BpFWptWsttwiDGVQQxM2R.jpeg?smia=xTM","Medan","175000000"
"51951","2006 Suzuki Karimun 1.0 GX Hatchback","Suzuki","Karimun","GX","Pertamax","Hatchback","Manual","5","2006","87500","Silver","https://img3.icarcdn.com/0675175/thumb-l_used-car-mobil123-suzuki-karimun-gx-hatchback-indonesia_0675175_nreOvvbt9aL8my8mv62kNM.jpeg?smia=xTM","Gresik","69000000"
"72561","2015 Daihatsu Gran Max 1.5 D Van","Daihatsu","Gran Max","D","Pertamax","Van","Manual","9","2015","69000","Hitam","https://img1.icarcdn.com/5670395/thumb-l_used-car-mobil123-daihatsu-gran-max-d-van-indonesia_5670395_aYW37tIjo0uSpzurBLXkek.jpg?smia=xTM","Jakarta Barat","87000000"
"4049","2010 BMW 320i 2.0 E90 Sedan","BMW","320i","E90","Pertamax","Sedan","Automatic","5","2010","77000","Hitam","https://img3.icarcdn.com/9144905/thumb-l_used-car-mobil123-bmw-3-series-320i-e90-sedan-indonesia_9144905_1cpI0rrWTFChacKLiN1Zc2.jpg?smia=xTM","Jakarta Barat","235000000"
"71825","2013 Nissan Serena 2.0 Highway Star MPV","Nissan","Serena","Highway Star","Pertamax","MPV","Automatic","7","2013","80000","Silver","https://img4.icarcdn.com/9230336/thumb-l_used-car-mobil123-nissan-serena-highway-star-mpv-indonesia_9230336_EN2QriYR8ywyewUM1fGNRU.jpg?smia=xTM","Jakarta Selatan","164999999"
"80035","2007 Honda CR-V 2.4 2.4 i-VTEC SUV","Honda","CR-V","2.4 i-VTEC","Pertamax","SUV","Automatic","5","2007","85000","Abu-abu","https://img2.icarcdn.com/5168046/thumb-l_used-car-mobil123-honda-cr-v-2.4-i-vtec-suv-indonesia_5168046_tB2vYRdAxnALOG27zx4DfF.jpg?smia=xTM","Sidoarjo","140000000"
"74374","2014 Toyota Agya 1.0 G Hatchback","Toyota","Agya","G","Pertamax","Hatchback","Manual","5","2014","50000","Putih","https://img2.icarcdn.com/3114525/thumb-l_used-car-mobil123-toyota-agya-g-hatchback-indonesia_3114525_ITl6BCBjeWww5gfcN7Ac02.jpg?smia=xTM","Surabaya","97000000"
"21230","2017 Toyota Vellfire 2.5 G Van Wagon","Toyota","Vellfire","G","Pertamax","Van Wagon","Automatic","7","2017","45000","Putih","https://img4.icarcdn.com/0222716/thumb-l_used-car-mobil123-toyota-vellfire-g-van-wagon-indonesia_0222716_uTooVMTZr2mtTyJxI9UFSg.jpg?smia=xTM","Jakarta Selatan","835000000"
"29768","2012 Nissan Fair Lady 3.7 V6 Coupe","Nissan","Fair Lady","V6","Pertamax","Coupe","Automatic","2","2012","2000","Putih","https://img5.icarcdn.com/6593326/thumb-l_used-car-mobil123-nissan-fair-lady-v6-coupe-indonesia_6593326_cHRA0RNinrVN2BfuWBBNE3.jpg?smia=xTM","Jakarta Selatan","1095000000"
"82449","2017 Datsun GO+ 1.2 T-OPTION MPV","Datsun","GO+","T-OPTION","Pertamax","MPV","Manual","7","2017","40000","Putih","https://img5.icarcdn.com/7462946/thumb-l_used-car-mobil123-datsun-go-t-option-mpv-indonesia_7462946_HMzhhyKPSF9yGke5cOhdty.jpg?smia=xTM","Surabaya","100000000"
"37863","2015 Toyota Hilux 2.5 E Pick-up","Toyota","Hilux","E","Solar","Pick-up","Manual","5","2015","102500","Hitam","https://img4.icarcdn.com/7487156/thumb-l_used-car-mobil123-toyota-hilux-e-pick-up-indonesia_7487156_y5la5pJwsHAkQ8TI61Jqoe.JPG?smia=xTM","Jakarta Pusat","290000000"
"79546","2010 Nissan X-Trail 2.5 ST SUV","Nissan","X-Trail","ST","Pertamax","SUV","Automatic","5","2010","60000","Silver","https://img1.icarcdn.com/2919515/thumb-l_used-car-mobil123-nissan-x-trail-st-suv-indonesia_2919515_5U2mP5Tq8KBKiWnCj0MUtQ.jpg?smia=xTM","Jakarta Utara","123000000"
